Record#,PIT Tag,SRR Verbose,SRR Code,Event Type,Length,Weight,Conditional Comments,Text Comments,Event Date,Event Site,Life Stage,Brood Year,Migration Year,Spawn Year,Release Site,RKM Mask,RKM Ext,Release Temp,Release Date,Tagger,Organization,Capture Method,Mark Method,Mark Temp,Hold Temp,Raceway/Transect/Tank,Hatchery,Stock,Latitude,Longitude,Lat/Long Source,CWT-S,Second PIT Tag,Scale ID,Adipose Clip,Fin Clip,CWT-BODY,Release Status,Sex,Capture Status,Snubbed Dorsal,Injury,Tally Count,Scale Age,Scale Origin ,Final Origin,Field Origin
548,3DD.003DA28B41,Hat. Summer Steelhead,32H,Mark,620,,AD MA RF,,10/6/2021 12:22,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/6/2021 12:22,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,113-3,X,,,Passed,Male,Maiden,X,,,1.1,H,H,H
549,3DD.003DA28B40,Hat. Summer Steelhead,32H,Mark,630,,AD MA RF,,10/6/2021 12:49,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/6/2021 12:49,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,113-4,X,,,Passed,Male,Maiden,X,,,1.1,H,H,H
550,3DD.003DA28B4C,Hat. Summer Steelhead,32H,Mark,530,,AD FE RF,,10/6/2021 13:00,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/6/2021 13:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,113-5,X,,,Passed,Female,Maiden,X,,,H2.1,H,H,H
551,3DD.003DA28B62,Hat. Summer Steelhead,32H,Mark,550,,AD MA RF,,10/11/2021 6:51,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/11/2021 6:51,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,114-1,X,,,Passed,Male,Maiden,X,,,1.1,H,H,H
552,3DD.003D875EE3,Hat. Summer Steelhead,32H,Recapture,600,,CW MA RE RF,This is a recap!!!!,10/11/2021 8:34,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/11/2021 8:34,ECKENBERG J,CPUD,LADDER,,25,,,,,,,,X,,114-2,,,,Passed,Male,Maiden,X,,,1.1,H,H,H
553,3DD.003D82AB27,Wild Summer Steelhead,32W,Recapture,540,,AI FE RE RF,This is a recap!!!!,10/11/2021 10:17,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/11/2021 10:17,ECKENBERG J,CPUD,LADDER,,25,,,,,,,,,,114-3,,,,Passed,Female,Maiden,,,,2.1,W,W,W
554,3DD.003DA28B4E,Hat. Summer Steelhead,32H,Mark,600,,AD FE RF,,10/11/2021 10:29,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/11/2021 10:29,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,114-4,X,,,Passed,Female,Maiden,X,,,UNREADABLE,H,H,H
555,3DD.003DA28B24,Wild Summer Steelhead,32W,Mark,730,,AI FE RF,,10/13/2021 6:36,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/13/2021 6:36,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,115-1,,,,Passed,Female,Maiden,,,,3.2,W,W,W
556,3DD.003DA28A68,Wild Summer Steelhead,32W,Recapture,530,,AI FE RE RF,2nd recap,10/13/2021 7:50,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/13/2021 7:50,ECKENBERG J,CPUD,LADDER,,25,,,,,,,,,,115-2,,,,Passed,Female,Recapture,,,,2.1,W,W,W
557,3DD.003DA28B12,Wild Summer Steelhead,32W,Mark,740,,AI FE RF,,10/13/2021 9:36,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/13/2021 9:36,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,115-3,,,,Passed,Female,Maiden,,,,2.2,W,W,W
558,3DD.003DA28B0D,Hat. Summer Steelhead,32H,Mark,600,,AD MA RF,,10/13/2021 11:56,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/13/2021 11:56,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,115-4,X,,,Passed,Male,Maiden,X,,,1.1,H,H,H
559,3DD.003DA28B3D,Wild Summer Steelhead,32W,Mark,550,,AI MA RF,,10/14/2021 7:02,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/14/2021 7:02,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,116-1,,,,Passed,Male,Maiden,,,,2.1,W,W,W
560,3DD.003D82A904,Wild Summer Steelhead,32W,Recapture,610,,AI MA RE RF,This is a recap!!!!,10/14/2021 8:01,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/14/2021 8:01,ECKENBERG J,CPUD,LADDER,,25,,,,,,,,,,116-2,,,,Passed,Male,Maiden,,,,2.1,W,W,W
561,3DD.003DA28B46,Hat. Summer Steelhead,32H,Mark,590,,AD MA RF,,10/14/2021 11:14,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/14/2021 11:14,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,116-3,X,,,Passed,Male,Maiden,X,,,1.1,H,H,H
562,3DD.003DA28B1D,Wild Summer Steelhead,32W,Mark,570,,AI FE RF,,10/14/2021 11:33,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/14/2021 11:33,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,116-4,,,,Passed,Female,Maiden,,,,2.1,W,W,W
563,3DD.003DA28B35,Hat. Summer Steelhead,32H,Mark,550,,AD FE RF,,10/14/2021 11:54,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/14/2021 11:54,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,116-5,X,,,Passed,Female,Maiden,X,,,R.1,H,H,H
564,3DD.003DA28B0A,Hat. Summer Steelhead,32H,Mark,590,,AD FE RF,,10/14/2021 13:14,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/14/2021 13:14,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,116-6,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
565,3DD.003DA28B1E,Hat. Summer Steelhead,32H,Mark,790,,AD FE RF,,10/14/2021 13:35,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/14/2021 13:35,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,117-1,X,,,Passed,Female,Maiden,X,,,1.2,H,H,H
566,3DD.003DA28B2C,Hat. Summer Steelhead,32H,Mark,620,,AD MA RF,,10/14/2021 14:21,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/14/2021 14:21,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,117-2,X,,,Passed,Male,Maiden,X,,,R.1,H,H,H
567,3DD.003DA28B3C,Hat. Summer Steelhead,32H,Mark,540,,AD MA RF,,10/18/2021 7:41,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/18/2021 7:41,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,118-1,X,,,Passed,Male,Maiden,X,,,UNREADABLE,H,H,H
568,3DD.003DA28B30,Hat. Summer Steelhead,32H,Mark,560,,AD FE RF,,10/21/2021 6:42,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/21/2021 6:42,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,119-1,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
569,3DD.003DA28B3F,Hat. Summer Steelhead,32H,Mark,580,,AD FE RF,,10/21/2021 8:23,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/21/2021 8:23,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,119-2,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
570,3DD.003DA28B47,Hat. Summer Steelhead,32H,Mark,650,,AD FE RF,,10/21/2021 10:15,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/21/2021 10:15,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,119-3,X,,,Passed,Female,Maiden,X,,,1.2,H,H,H
571,3DD.003DA28B2B,Hat. Summer Steelhead,32H,Mark,610,,AD FE RF,,10/25/2021 6:44,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/25/2021 6:44,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,119-4,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
572,3DD.003DA28B07,Wild Summer Steelhead,32W,Mark,520,,AI MA RF,,10/25/2021 9:15,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/25/2021 9:15,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,119-5,,,,Passed,Male,Maiden,,,,2.1,W,W,W
573,3DD.003DA28B5D,Wild Summer Steelhead,32W,Mark,760,,AI FE RF,,10/25/2021 10:44,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/25/2021 10:44,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,119-6,,,,Passed,Female,Maiden,,,,2.2,W,W,W
574,3DD.003DA28B22,Hat. Summer Steelhead,32H,Mark,630,,AD FE RF,,10/27/2021 6:59,PRDLD1,Adult,,2021,,PRDLD1,639,,20,10/27/2021 6:59,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,120-1,X,,,Passed,Female,Maiden,X,,,1.2,H,H,H
