Record#,PIT Tag,SRR Verbose,SRR Code,Event Type,Length,Weight,Conditional Comments,Text Comments,Event Date,Event Site,Life Stage,Brood Year,Migration Year,Spawn Year,Release Site,RKM Mask,RKM Ext,Release Temp,Release Date,Tagger,Organization,Capture Method,Mark Method,Mark Temp,Hold Temp,Raceway/Transect/Tank,Hatchery,Stock,Latitude,Longitude,Lat/Long Source,CWT-S,Second PIT Tag,Scale ID,Adipose Clip,Fin Clip,CWT-BODY,Release Status,Sex,Capture Status,Snubbed Dorsal,Injury,Tally Count,Scale Age,Scale Origin ,Final Origin,Field Origin
425,3DD.003DA28AE7,Hat. Summer Steelhead,32H,Mark,620,,AD MA RF,,9/21/2021 7:52,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/21/2021 7:52,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,89-2,X,,,Passed,Male,Maiden,X,,,1.2,H,H,H
426,3DD.003DA28AB6,Hat. Summer Steelhead,32H,Mark,820,,AD FE RF,Injury snout,9/21/2021 7:56,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/21/2021 7:56,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,89-3,X,,,Passed,Female,Maiden,X,HW,,1.2,H,H,H
427,3DD.003DA28AD8,Wild Summer Steelhead,32W,Mark,670,,AI FE RF,Changed to W per scale analysis,9/21/2021 8:01,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/21/2021 8:01,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,89-4,,,,Passed,Female,Maiden,,,,3.2,W,W,H
428,3DD.003DA28AC8,Wild Summer Steelhead,32W,Mark,610,,AI FE RF,,9/21/2021 8:07,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/21/2021 8:07,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,89-5,,,,Passed,Female,Maiden,,,,2.1,W,W,W
429,3DD.003DA28AB5,Hat. Summer Steelhead,32H,Mark,550,,AI CW FE RF,,9/21/2021 8:34,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/21/2021 8:34,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,X,,89-6,,,,Passed,Female,Maiden,X,,,2.1,H,H,H
430,3DD.003DA28AAA,Hat. Summer Steelhead,32H,Mark,600,,AD MA RF,,9/21/2021 8:40,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/21/2021 8:40,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,90-1,X,,,Passed,Male,Maiden,X,,,1.1,H,H,H
431,3DD.003DA28ADA,Hat. Summer Steelhead,32H,Mark,560,,AD CW FE RF,,9/21/2021 8:56,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/21/2021 8:56,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,X,,90-2,X,,,Passed,Female,Maiden,X,,,R.1,H,H,H
432,3DD.003DA28AF1,Wild Summer Steelhead,32W,Mark,630,,AI FE RF,,9/21/2021 9:37,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/21/2021 9:37,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,90-3,,,,Passed,Female,Maiden,,,,2.1,W,W,W
433,3DD.003DA28AD3,Hat. Summer Steelhead,32H,Mark,620,,AD MA RF,,9/21/2021 9:40,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/21/2021 9:40,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,90-4,X,,,Passed,Male,Maiden,X,,,1.1,H,H,H
434,3DD.003DA28AED,Hat. Summer Steelhead,32H,Mark,590,,AD CW FE RF,,9/21/2021 9:56,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/21/2021 9:56,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,X,,90-5,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
435,3DD.003DA28AD9,Hat. Summer Steelhead,32H,Mark,580,,AD FE RF,,9/21/2021 10:02,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/21/2021 10:02,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,90-6,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
436,3DD.003DA28AE9,Hat. Summer Steelhead,32H,Mark,610,,AD MA RF,,9/21/2021 10:05,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/21/2021 10:05,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,91-1,X,,,Passed,Male,Maiden,,,,1.1,H,H,H
437,3DD.003D4383D8,Hat. Summer Steelhead,32H,Recapture,570,,AD MA RE RF,This is a recap!!!!,9/21/2021 11:53,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/21/2021 11:53,ECKENBERG J,CPUD,LADDER,,25,,,,,,,,,,91-2,X,,,Passed,Male,Maiden,X,,,1.1,H,H,H
438,3DD.003DA28AAD,Hat. Summer Steelhead,32H,Mark,780,,AD FE RF,,9/21/2021 12:13,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/21/2021 12:13,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,91-3,X,,,Passed,Female,Maiden,X,,,1.2,H,H,H
439,3DD.003DA28AA3,Hat. Summer Steelhead,32H,Mark,570,,AD FE RF,,9/21/2021 12:29,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/21/2021 12:29,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,91-4,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
440,3DD.003DA28AB4,Hat. Summer Steelhead,32H,Mark,620,,AD FE RF,,9/21/2021 12:41,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/21/2021 12:41,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,91-5,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
441,3DD.003D67A8B3,Hat. Summer Steelhead,32H,Recapture,560,,AD FE RE RF,This is a recap!!!!,9/21/2021 12:48,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/21/2021 12:48,ECKENBERG J,CPUD,LADDER,,25,,,,,,,,,,91-6,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
442,3DD.003DA28AA4,Hat. Summer Steelhead,32H,Mark,560,,AD CW FE RF,,9/21/2021 12:52,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/21/2021 12:52,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,X,,92-1,X,,,Passed,Female,Maiden,X,,,R.1,H,H,H
443,3DD.003D875563,Hat. Summer Steelhead,32H,Recapture,580,,AD FE RE RF,This is a recap!!!!,9/21/2021 13:09,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/21/2021 13:09,ECKENBERG J,CPUD,LADDER,,25,,,,,,,,,,92-2,X,,,Passed,Female,Maiden,,,,1.1,H,H,H
444,3DD.003D46B393,Hat. Summer Steelhead,32H,Recapture,550,,AD FE RE RF,This is a recap!!!!,9/21/2021 13:16,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/21/2021 13:16,ECKENBERG J,CPUD,LADDER,,25,,,,,,,,,,92-3,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
445,3DD.003DA28AB9,Hat. Summer Steelhead,32H,Mark,590,,AI FE RF,,9/21/2021 13:21,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/21/2021 13:21,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,92-4,,,,Passed,Female,Maiden,X,,,R.1,H,H,H
446,3DD.003DA28AFD,Hat. Summer Steelhead,32H,Mark,580,,AD FE RF,,9/21/2021 13:50,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/21/2021 13:50,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,92-5,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
447,3DD.003DA28AE5,Hat. Summer Steelhead,32H,Mark,790,,AD FE RF,,9/21/2021 13:52,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/21/2021 13:52,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,92-6,X,,,Passed,Female,Maiden,,,,1.2,H,H,H
448,3DD.003DA28AC9,Hat. Summer Steelhead,32H,Mark,730,,AD FE RF,,9/23/2021 6:17,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/23/2021 6:17,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,93-1,X,,,Passed,Female,Maiden,X,,,1.2,H,H,H
449,3DD.003DA28AE1,Hat. Summer Steelhead,32H,Mark,590,,AD FE RF,,9/23/2021 6:59,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/23/2021 6:59,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,93-2,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
450,3DD.003DA28AEB,Hat. Summer Steelhead,32H,Mark,530,,AD FE RF,,9/23/2021 7:27,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/23/2021 7:27,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,93-3,X,,,Passed,Female,Maiden,,,,1.1,H,H,H
451,3DD.003DA28AF0,Wild Summer Steelhead,32W,Mark,620,,AI FE RF,Changed to W per scale analysis,9/23/2021 7:47,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/23/2021 7:47,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,93-4,,,,Passed,Female,Maiden,X,,,W1.1,W,W,H
452,3DD.003DA28AE3,Hat. Summer Steelhead,32H,Mark,540,,AD MA RF,,9/23/2021 8:02,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/23/2021 8:02,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,93-5,X,,,Passed,Male,Maiden,X,,,1.1,H,H,H
453,3DD.003DA28ACA,Wild Summer Steelhead,32W,Mark,590,,AI FE RF,,9/23/2021 8:37,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/23/2021 8:37,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,93-6,,,,Passed,Female,Maiden,,,,2.1,W,W,W
454,3DD.003DA28A9D,Hat. Summer Steelhead,32H,Mark,590,,AI CW FE RF,,9/23/2021 9:44,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/23/2021 9:44,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,X,,94-1,,,,Passed,Female,Maiden,X,,,1.1,H,H,H
455,3DD.003DA28A9E,Hat. Summer Steelhead,32H,Mark,580,,AD FE RF,,9/23/2021 9:49,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/23/2021 9:49,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,94-2,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
456,3DD.003DA28ADD,Hat. Summer Steelhead,32H,Mark,610,,AD MA RF,,9/23/2021 10:11,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/23/2021 10:11,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,94-3,X,,,Passed,Male,Maiden,X,,,1.1,H,H,H
457,3DD.003DA28AFF,Hat. Summer Steelhead,32H,Mark,540,,AD FE RF,,9/23/2021 10:14,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/23/2021 10:14,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,94-4,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
458,3DD.003DA28AF8,Hat. Summer Steelhead,32H,Mark,570,,AD MA RF,,9/23/2021 10:33,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/23/2021 10:33,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,94-5,X,,,Passed,Male,Maiden,X,,,1.1,H,H,H
459,3DD.003DA28ACC,Wild Summer Steelhead,32W,Mark,590,,AI MA RF,,9/23/2021 10:37,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/23/2021 10:37,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,94-6,,,,Passed,Male,Maiden,,,,2.1,W,W,W
460,3DD.003DA28AA7,Wild Summer Steelhead,32W,Mark,580,,AI FE RF,,9/23/2021 10:43,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/23/2021 10:43,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,95-1,,,,Passed,Female,Maiden,,,,R.1,W,W,W
461,3DD.003DA28AB3,Hat. Summer Steelhead,32H,Mark,600,,AD MA RF,,9/23/2021 10:53,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/23/2021 10:53,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,95-2,X,,,Passed,Male,Maiden,,,,1.1,H,H,H
462,3DD.003DA28AC5,Hat. Summer Steelhead,32H,Mark,580,,AD CW FE RF,,9/23/2021 12:47,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/23/2021 12:47,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,X,,95-3,X,,,Passed,Female,Maiden,X,,,R.1,H,H,H
463,3DD.003DA28ABD,Hat. Summer Steelhead,32H,Mark,590,,AD FE RF,,9/23/2021 12:52,PRDLD1,Adult,,2021,,PRDLD1,639,,20,9/23/2021 12:52,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,95-4,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
