Record#,PIT Tag,SRR Verbose,SRR Code,Event Type,Length,Weight,Conditional Comments,Text Comments,Event Date,Event Site,Life Stage,Brood Year,Migration Year,Spawn Year,Release Site,RKM Mask,RKM Ext,Release Temp,Release Date,Tagger,Organization,Capture Method,Mark Method,Mark Temp,Hold Temp,Raceway/Transect/Tank,Hatchery,Stock,Latitude,Longitude,Lat/Long Source,CWT-S,Second PIT Tag,Scale ID,Adipose Clip,Fin Clip,CWT-BODY,Release Status,Sex,Capture Status,Snubbed Dorsal,Injury,Talley Count,Scale Age,Scale Origin ,Final Origin,Field Origin
400,3DD.003DA28718,Hat. Summer Steelhead,32H,Mark,820,,AD FE RF,,7/22/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/22/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,017-2,,,,,Female,,,,,1.2,H,H,H
401,3DD.003DA286FC,Wild Summer Steelhead,32W,Mark,630,,AI FE RF,SS GN,7/22/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/22/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,017-3,,,,,Female,,,,,2.2,W,W,W
402,3DD.003DA2870E,Hat. Summer Steelhead,32H,Mark,680,,AI FE RF,,7/22/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/22/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,017-4,,,,,Female,,,,,1.2,H,H,H
403,3DD.003DA286F8,Wild Summer Steelhead,32W,Mark,730,,AI FE RF,,7/22/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/22/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,017-5,,,,,Female,,,,,2.2,W,W,W
404,3DD.003DA286FD,Wild Summer Steelhead,32W,Mark,670,,AI MA RF,,7/22/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/22/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,017-6,,,,,Male,,,,,2.2,W,W,W
405,3DD.003DA286F2,Wild Summer Steelhead,32W,Mark,770,,AI MA RF,,7/22/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/22/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,018-1,,,,,Male,,,,,R.2,,W,W
406,3DD.003DA286CF,Hat. Summer Steelhead,32H,Mark,730,,AI CW FE RF,,7/22/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/22/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,018-2,,,,,Female,,,,,1.2,H,H,H
407,3DD.003DA286D0,Wild Summer Steelhead,32W,Mark,720,,AI MA RF,,7/22/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/22/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,018-3,,,,,Male,,,,,2.2,W,W,W
408,3DD.003DA286CB,Wild Summer Steelhead,32W,Mark,720,,AI MA RF,,7/22/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/22/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,018-4,,,,,Male,,,,,2.2,W,W,W
409,3DD.003DA286C5,Wild Summer Steelhead,32W,Mark,710,,AI FE RF,,7/22/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/22/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,018-5,,,,,Female,,,,,R.2,,W,W
410,3DD.003DA285A2,Hat. Summer Steelhead,32H,Mark,700,,AI FE RF,,7/27/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/27/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,023-6,,,,,Female,,,,,1.2,H,H,H
411,3DD.003DA285C7,Wild Summer Steelhead,32W,Mark,680,,AI FE RF,SS,7/27/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/27/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,024-1,,,,,Female,,,,,2.2,W,W,W
412,3DD.003DA285B8,Hat. Summer Steelhead,32H,Mark,650,,AD FE RF,,7/27/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/27/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,024-2,,,,,Female,,,,,1.2,H,H,H
413,3DD.003DA285CF,Hat. Summer Steelhead,32H,Mark,640,,AD CW MA RF,,7/27/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/27/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,024-3,,,,,Male,,,,,1.2,H,H,H
414,3DD.003DA2868C,Hat. Summer Steelhead,32H,Mark,540,,AD MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/19/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,76-1,,,,,Male,,,,,1.1,H,H,H
415,3DD.003DA286AA,Hat. Summer Steelhead,32H,Mark,570,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/19/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,76-2,,,,,Female,,,,,1.1,H,H,H
416,3DD.003DA2867E,Hat. Summer Steelhead,32H,Mark,790,,AD MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/19/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,76-3,,,,,Male,,,,,1.2,H,H,H
417,3DD.003DA2866A,Wild Summer Steelhead,32W,Mark,660,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/19/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,76-4,,,,,Female,,,,,W1.2,W,W,W
418,3DD.003DA28680,Hat. Summer Steelhead,32H,Mark,800,,AD MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/19/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,76-5,,,,,Male,,,,,1.2,H,H,H
419,3DD.003DA28659,Hat. Summer Steelhead,32H,Mark,670,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/19/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,76-6,,,,,Female,,,,,1.2,H,H,H
420,3DD.003DA286A1,Hat. Summer Steelhead,32H,Mark,700,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/19/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,77-1,,,,,Female,,,,,1.2,H,H,H
421,3DD.003DA28654,Hat. Summer Steelhead,32H,Mark,740,,AI CW FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/19/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,77-2,,,,,Female,,,,,1.2,H,H,H
422,3DD.003DA28778,Hat. Summer Steelhead,32H,Mark,710,,AD MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/19/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,77-3,,,,,Male,,,,,1.2,H,H,H
423,3DD.003DA28735,Wild Summer Steelhead,32W,Mark,850,,AI MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/19/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,77-4,,,,,Male,,,,,2.2,W,W,W
424,3DD.003DA28757,Hat. Summer Steelhead,32H,Mark,670,,AD MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/19/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,77-5,,,,,Male,,,,,1.2,H,H,H
425,3DD.003DA28741,Hat. Summer Steelhead,32H,Mark,720,,AI CW MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/19/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,77-6,,,,,Male,,,,,1.2,H,H,H
426,3DD.003DA28769,Wild Summer Steelhead,32W,Mark,740,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/19/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,78-1,,,,,Female,,,,,2.2,W,W,W
427,3DD.003DA2873B,Wild Summer Steelhead,32W,Mark,750,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/19/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,78-2,,,,,Female,,,,,2.2,W,W,W
428,3DD.003DA2874F,Hat. Summer Steelhead,32H,Mark,660,,AI CW FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/19/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,78-3,,,,,Female,,,,,1.2,H,H,H
429,3DD.003DA28758,Hat. Summer Steelhead,32H,Mark,670,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/19/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,78-4,,,,,Female,,,,,1.2,H,H,H
430,3DD.003DA28723,Hat. Summer Steelhead,32H,Mark,550,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/19/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,78-5,,,,,Female,,,,,1.1,H,H,H
431,3DD.003DA2871B,Hat. Summer Steelhead,32H,Mark,620,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/19/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,78-6,,,,,Female,,,,,1.2,H,H,H
432,3DD.003DA2876F,Wild Summer Steelhead,32W,Mark,680,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/19/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,79-1,,,,,Female,,,,,2.2,W,W,W
433,3DD.003BE4C633,Hat. Summer Steelhead,32H,Recapture,710,,AD FE RE RF,This is a recap!!!!,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/19/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,79-2,,,,,Female,,,,,1.2,H,H,H
434,3DD.003DA28734,Wild Summer Steelhead,32W,Mark,720,,AI FE RF,GN,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/19/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,79-3,,,,,Female,,,,,2.2,W,W,W
435,3DD.003DA2874C,Wild Summer Steelhead,32W,Mark,790,,AI MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/19/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,79-4,,,,,Male,,,,,2.2,W,W,W
436,3DD.003DA2877A,Hat. Summer Steelhead,32H,Mark,680,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/19/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,79-5,,,,,Female,,,,,1.2,H,H,H
437,3DD.003DA28739,Hat. Summer Steelhead,32H,Mark,680,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/19/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,79-6,,,,,Female,,,,,1.2,H,H,H
438,3DD.003DA28725,Hat. Summer Steelhead,32H,Mark,750,,AD MA RF RV,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/19/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,80-1,,,,,Male,,,,,1.2,H,H,H
439,3DD.003DA2877C,Hat. Summer Steelhead,32H,Mark,670,,AD FE RF,GN SS,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/19/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,80-2,,,,,Female,,,,,1.2,H,H,H
440,3DD.003DA2875F,Wild Summer Steelhead,32W,Mark,640,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/19/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,80-3,,,,,Female,,,,,2.2,W,W,W
441,3DD.003DA28777,Hat. Summer Steelhead,32H,Mark,700,,AI CW MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/19/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,80-4,,,,,Male,,,,,1.2,H,H,H
442,3DD.003DA2876E,Hat. Summer Steelhead,32H,Mark,770,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/19/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,80-5,,,,,Female,,,,,1.2,H,H,H
443,3DD.003DA28755,Hat. Summer Steelhead,32H,Mark,680,,AD MA RF,SS,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/19/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,80-6,,,,,Male,,,,,1.2,H,H,H
444,3DD.003DA28772,Hat. Summer Steelhead,32H,Mark,640,,AD MA RF RV,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/19/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,81-1,,,,,Male,,,,,1.2,H,H,H
445,3DD.003DA2872A,Wild Summer Steelhead,32W,Mark,550,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/19/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,81-2,,,,,Female,,,,,R.2,,W,W
446,3DD.003DA2876C,Hat. Summer Steelhead,32H,Mark,690,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/19/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,81-3,,,,,Female,,,,,1.2,H,H,H
447,3DD.003DA28771,Wild Summer Steelhead,32W,Mark,690,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/19/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,81-4,,,,,Female,,,,,2.2,W,W,W
448,3DD.003DA28761,Wild Summer Steelhead,32W,Mark,660,,AI MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/19/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,81-5,,,,,Male,,,,,2.2,W,W,W
449,3DD.003DA24FD2,Wild Summer Steelhead,32W,Recapture,690,,AI MA RE RF,This is a recap!!!!,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/19/2020 15:00,ECKENBERG J,CPUD,LADDER,,25,,,,,,,,,,81-6,,,,,Male,,,,,R.2,,W,W
450,3DD.003DA2875C,Hat. Summer Steelhead,32H,Mark,550,,AD MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/19/2020 15:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,82-1,,,,,Male,,,,,1.1,H,H,H
451,3DD.003DA2872F,Hat. Summer Steelhead,32H,Mark,650,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/21/2020 14:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,83-1,,,,,Female,,,,,1.2,H,H,H
452,3DD.003DA28742,Hat. Summer Steelhead,32H,Mark,710,,AD FE RF,SS,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/21/2020 14:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,83-2,,,,,Female,,,,,1.2,H,H,H
453,3DD.003DA28768,Hat. Summer Steelhead,32H,Mark,480,,AD MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/21/2020 14:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,83-3,,,,,Male,,,,,1.1,H,H,H
454,3DD.003DA2876B,Hat. Summer Steelhead,32H,Mark,740,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/21/2020 14:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,83-4,,,,,Female,,,,,1.2,H,H,H
455,3DD.0077BE5778,Hat. Summer Steelhead,32H,Recapture,740,,AD MA RE RF,This is a recap!!!!,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/21/2020 14:00,ECKENBERG J,CPUD,LADDER,,25,,,,,,,,,,83-5,,,,,Male,,,,,1.2,H,H,H
456,3DD.003DA2874B,Hat. Summer Steelhead,32H,Mark,660,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/21/2020 14:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,83-6,,,,,Female,,,,,1.2,H,H,H
457,3DD.003DA2872B,Wild Summer Steelhead,32W,Mark,670,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/21/2020 14:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,84-1,,,,,Female,,,,,R.2,,W,W
458,3DD.003DA28765,Hat. Summer Steelhead,32H,Mark,570,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/21/2020 14:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,84-2,,,,,Female,,,,,1.1,H,H,H
459,3DD.003DA28748,Hat. Summer Steelhead,32H,Mark,720,,AI MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/21/2020 14:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,84-3,,,,,Male,,,,,UNREADABLE,,H,H
460,3DD.003DA2874D,Wild Summer Steelhead,32W,Mark,570,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/21/2020 14:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,84-4,,,,,Female,,,,,2.1,W,W,W
461,3DD.003DA28754,Hat. Summer Steelhead,32H,Mark,680,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/21/2020 14:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,84-5,,,,,Female,,,,,1.2,H,H,H
462,3DD.003DA28753,Hat. Summer Steelhead,32H,Mark,740,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/21/2020 14:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,84-6,,,,,Female,,,,,1.2,H,H,H
463,3DD.003DA28752,Hat. Summer Steelhead,32H,Mark,720,,AD MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/21/2020 14:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,85-1,,,,,Male,,,,,1.2,H,H,H
464,3DD.003DA28746,Hat. Summer Steelhead,32H,Mark,710,,AD FE RF,"GN, SS",7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/21/2020 14:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,85-2,,,,,Female,,,,,1.2,H,H,H
465,3DD.003DA2872D,Hat. Summer Steelhead,32H,Mark,620,,AD CW FE RF,SS,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/20/2020 14:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,85-3,,,,,Female,,,,,1.2,H,H,H
466,3DD.003DA2873E,Wild Summer Steelhead,32W,Mark,790,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/20/2020 14:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,85-4,,,,,Female,,,,,2.2,W,W,W
467,3DD.003DA28744,Hat. Summer Steelhead,32H,Mark,600,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/21/2020 14:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,85-5,,,,,Female,,,,,1.1,H,H,H
468,3DD.003DA2875E,Hat. Summer Steelhead,32H,Mark,660,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/21/2020 14:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,85-6,,,,,Female,,,,,1.2,H,H,H
469,3DD.003DA28756,Hat. Summer Steelhead,32H,Mark,670,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/21/2020 14:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,86-1,,,,,Female,,,,,1.2,H,H,H
470,3DD.003DA28759,Hat. Summer Steelhead,32H,Mark,780,,AD FE RF,SS,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/21/2020 14:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,86-2,,,,,Female,,,,,1.2,H,H,H
471,3DD.003DA28743,Hat. Summer Steelhead,32H,Mark,790,,AD FE RF,,8/21/2020 14:16,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/21/2020 14:16,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,86-3,,,,,Female,,,,,1.2,H,H,H
472,3DD.003DA2871D,Hat. Summer Steelhead,32H,Mark,650,,AD FE RF,,8/21/2020 14:24,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/21/2020 14:24,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,86-4,,,,,Female,,,,,UNREADABLE,,H,H
473,3DD.003DA2865F,Wild Summer Steelhead,32W,Mark,740,,AI FE RF,GN,8/24/2020 6:55,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/24/2020 6:55,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,87-1,,,,,Female,,,,,2.2,W,W,W
474,3DD.003DA2876D,Hat. Summer Steelhead,32H,Mark,710,,AI CW FE RF,,8/24/2020 8:19,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/24/2020 8:19,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,87-2,,,,,Female,,,,,1.2,H,H,H
475,3DD.003C07E0E4,Hat. Summer Steelhead,32H,Recapture,740,,AD FE RE RF,This is a recap!!!! LW,8/24/2020 8:28,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/24/2020 8:28,ECKENBERG J,CPUD,LADDER,,25,,,,,,,,,,87-3,,,,,Female,,,,,1.2,H,H,H
476,3DD.003DA2875A,Hat. Summer Steelhead,32H,Mark,670,,AD FE RF,,8/24/2020 8:38,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/24/2020 8:38,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,87-4,,,,,Female,,,,,1.2,H,H,H
477,3DD.003DA28729,Wild Summer Steelhead,32W,Mark,700,,AI MA RF,,8/24/2020 8:41,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/24/2020 8:41,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,87-5,,,,,Male,,,,,2.2,W,W,W
478,3DD.003DA2874A,Hat. Summer Steelhead,32H,Mark,770,,AD MA RF,,8/24/2020 8:44,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/24/2020 8:44,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,87-6,,,,,Male,,,,,1.2,H,H,H
479,3DD.003DA28751,Hat. Summer Steelhead,32H,Mark,560,,AD MA RF,SS,8/24/2020 8:51,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/24/2020 8:51,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,88-1,,,,,Male,,,,,1.1,H,H,H
480,3DD.003DA28730,Hat. Summer Steelhead,32H,Mark,700,,AD CW FE RF,SS,8/24/2020 10:02,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/24/2020 10:02,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,88-2,,,,,Female,,,,,1.2,H,H,H
481,3DD.003DA28719,Hat. Summer Steelhead,32H,Mark,710,,AD FE RF,,8/24/2020 10:11,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/24/2020 10:11,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,88-3,,,,,Female,,,,,1.2,H,H,H
482,3DD.003DA28737,Hat. Summer Steelhead,32H,Mark,710,,AD FE RF,GN,8/24/2020 10:21,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/24/2020 10:21,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,88-4,,,,,Female,,,,,1.2,H,H,H
483,3DD.003B9AD857,Hat. Summer Steelhead,32H,Recapture,700,,AD FE RE RF RV,This is a recap!!!! SS,8/24/2020 10:33,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/24/2020 10:33,ECKENBERG J,CPUD,LADDER,,25,,,,,,,,,,88-5,,,,,Female,,,,,1.2,H,H,H
484,3DD.003DA2873C,Hat. Summer Steelhead,32H,Mark,660,,AD FE RF,,8/24/2020 10:43,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/24/2020 10:43,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,88-6,,,,,Female,,,,,1.2,H,H,H
485,3DD.003DA28733,Wild Summer Steelhead,32W,Mark,710,,AI MA RF,,8/24/2020 10:59,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/24/2020 10:59,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,89-1,,,,,Male,,,,,2.2,W,W,W
486,3DD.003DA28779,Hat. Summer Steelhead,32H,Mark,670,,AD FE RF,,8/24/2020 11:11,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/24/2020 11:11,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,89-2,,,,,Female,,,,,1.2,H,H,H
487,3DD.003DA2875B,Hat. Summer Steelhead,32H,Mark,700,,AD MA RF,GN,8/24/2020 11:50,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/24/2020 11:50,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,89-3,,,,,Male,,,,,1.2,H,H,H
488,3DD.003DA28774,Wild Summer Steelhead,32W,Mark,730,,AI MA RF,GN,8/24/2020 11:59,PRDLD1,Adult,,2020,,PRDLD1,639,,25,8/24/2020 11:59,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,89-4,,,,,Male,,,,,2.2,W,W,W
