site_code,node,site_name,site_type
COLR7,JDA,"Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",MRR
COLR8,JDA,"Columbia River - Chelan Falls, WA to Grand Coulee Dam (km 809-960)",MRR
COLR9,JDA,"Columbia River - Grand Coulee Dam to East Arrow Park, CAN (km 960-1359)",MRR
COWEAP,JDA,Coweeman Acclimation Pond,MRR
COWEER,JDA,"Coweeman River, tributary to Cowlitz River",MRR
COWLR1,JDA,Cowlitz River - mouth to Cispus River (km 0-135),MRR
COWLR2,JDA,Cowlitz River - Cispus River to Clear Fork (km 135-202),MRR
COWS,JDA,Cowlitz Salmon Hatchery,MRR
COWT,JDA,Cowlitz Trout Hatchery,MRR
CR1,JDA,Chinook River Sea Resources CF,INT
CRABP,JDA,Crab Creek Acclimation Pond,MRR
CROOK1,JDA,Crooked River - Lake Billy Chinook to Prineville Reservoir (km 0-113),MRR
CSH,JDA,Cowlitz Salmon Hatchery Ladder,INT
CUBC,JDA,Cub Creek - Clackamas Subbasin,MRR
CUNNSL,JDA,Cunningham Slough,MRR
DBH,JDA,Buck Hollow Ck Deschutes Trib,INT
DBO,JDA,Bakeoven Ck Deschutes Trib,INT
DEEPR,JDA,"Deep River, tributary to Columbia River",MRR
DESCH1,JDA,Deschutes River - mouth to Round Butte Dam (0-177 km),MRR
DESCH2,JDA,Deschutes River - Round Butte Dam to headwaters (177-393 km),MRR
DET,JDA,"Detroit Dam (USACE), North Santiam River",MRR
DETFBY,JDA,DET - Release into the Forebay within 0.5 km upstream of Dam,MRR
DETTAL,JDA,DET - Release into the Tailrace within 0.5km downstream of Dam,MRR
DEX,JDA,"Dexter Dam (USACE), Middle Fork Willamette River",MRR
DEXTAL,JDA,DEX - Release into the Tailrace within 0.5km downstream of Dam,MRR
DILACC,JDA,"Dillacort Creek, Klickitat River",MRR
DOGRVR,JDA,"Dog River, tributary to EF Hood River (OR)",MRR
DRANOL,JDA,Drano Lake,MRR
DRIFTC,JDA,Drift Creek - tributary to Lewis River,MRR
DRM,JDA,Deschutes River mouth,INT
DRNP,JDA,"Deep River Net Pens (Deep River, Washington)",MRR
DRYC,JDA,"Dry Creek, tributary to Fifteenmile Creek",MRR
DSF,JDA,Deschutes Sherars Falls,INT
DXP,JDA,Dexter Ponds Fish Ladder,INT
EAG2NF,JDA,"North Fork Eagle Creek, Clackamas River Basin",MRR
EAGH,JDA,"Eagle Creek National Fish Hatchery, Clackamas River Basin",MRR
EAGL2C,JDA,"Eagle Creek, Clackamas River Basin",MRR
ECH,JDA,Eagle Creek Hatchery Ladder,INT
ECL,JDA,Eagle Creek Lower Fish Ladder,INT
EFD,JDA,East Fork Diversion Fishway,INT
EFHORC,JDA,"East Fork Horse Creek, McKenzie River Basin",MRR
EIGH2C,JDA,"Eightmile Creek, Fifteenmile Creek Watershed",MRR
ELRH,JDA,"Elochoman River Hatchery (Elochoman River, Washington)",MRR
ESANIS,JDA,"East Sand Island, Columbia River",MRR
FAL,JDA,"Fall Creek Dam (USACE), MF Willamette River",MRR
FALL2C,JDA,"Fall Creek, MF Willamette River Basin",MRR
FALTAL,JDA,FAL - Release into the Tailrace within 0.5 km downstream of Dam,MRR
FID,JDA,"Farmer's Diversion, Hood River",INT
FIVE2C,JDA,"Fivemile Creek, Fifteen Mile Creek Watershed",MRR
FOL,JDA,Foster Dam Ladder S Santiam R,INT
FOS,JDA,Foster Dam Weir,INT
FOS,JDA,"Foster Dam, South Santiam River",MRR
FOSFBY,JDA,FOS - Release into the Forebay within 0.5 km upstream of Dam,MRR
FOSTAL,JDA,FOS - Release into the Tailrace within 0.5 km downstream of Dam,MRR
FRFH,JDA,Fall River Fish Hatchery,MRR
GEECR,JDA,"Gee Creek, Washington, lower Columbia River",MRR
GERMC,JDA,"Germany Creek, Lower Columbia River, Washington",MRR
GPD,JDA,Green Peter Dam,MRR
GRAYSR,JDA,"Grays River, Washington, lower Columbia River",MRR
GREENR,JDA,"Green River, trib. to NF Toutle River",MRR
GREEPC,JDA,Green Point Creek (tributary to West Fork Hood River),MRR
HCR,JDA,"Hills Creek Dam, Middle Fork Willamette River",MRR
HCRFBY,JDA,HCR - Release into the Forebay within 0.5 km upstream of Dam,MRR
HCRREG,JDA,HCR - Release into the Regulating Channel of the Tailrace within 0.5 km of Dam,MRR
HCRTUR,JDA,HCR - Release into the Turbine Channel of the Tailrace within 0.5 km of Dam,MRR
HERMAC,JDA,"Herman Creek, Columbia River Gorge (OR)",MRR
HLK,JDA,"Hemlock Dam, Wind River (WA) watershed",MRR
HLKTAL,JDA,HLK - Release into the Tailrace within 0.5 km downstream of Dam,MRR
HLX,JDA,Hemlock Dam Fish Ladder Exp.,INT
HOODEF,JDA,East Fork Hood River,MRR
HOODMF,JDA,Middle Fork Hood River,MRR
HOODR,JDA,Hood River,MRR
HOODWF,JDA,West Fork Hood River,MRR
HORS2C,JDA,"Horse Creek, upper McKenzie River Basin",MRR
HRM,JDA,Hood River Mouth,INT
JDA,JDA,John Day Dam,MRR
JDABYP,JDA,JDA - Release into the Facility Bypass Flume/Pipe,MRR
JDACOL,JDA,JDA - Release into the Collection Channel upstream of the Dewatering Facility,MRR
JDAFBY,JDA,JDA - Release into the Forebay within 0.5 km upstream of Dam,MRR
JDAGAT,JDA,JDA - Release into Flume between Separator Exit and the Primary PIT-Tag Diversion Gate,MRR
JDAGWL,JDA,JDA - Release into Gatewell(s),MRR
JDALD1,JDA,JDA - Release into south fish ladder,MRR
JDALD2,JDA,JDA - Release into north fish ladder,MRR
JDAMRT,JDA,JDA - Mortality Recovery,MRR
JDARRR,JDA,JDA - Release below the PIT-Tag Diversion System Gate with subsequent Return to the River at the Facility,MRR
JDATAL,JDA,JDA - Release into the Tailrace within 0.5 km downstream of Dam,MRR
JDJ,JDA,John Day Dam Juvenile,INT
JDPI,JDA,Preacher's Island downstream of John Day Dam,MRR
